yr,sp,ev,trt,type,blk,sam,%pred
2,W,3,CP,s,2,1,10
2,W,3,CP,s,2,2,2
2,W,3,CP,s,2,3,0
2,W,3,CP,s,3,1,6
2,W,3,CP,s,3,2,2
2,W,3,CP,s,3,3,4
2,W,3,CP,s,4,1,0
2,W,3,CP,s,4,2,4
2,W,3,CP,s,4,3,4
2,W,3,CP,w,1,1,0
2,W,3,CP,w,1,2,12
2,W,3,CP,w,1,3,18
2,W,3,CP,w,2,1,4
2,W,3,CP,w,2,2,72
2,W,3,CP,w,2,3,10
2,W,3,CP,w,3,1,6
2,W,3,CP,w,3,2,2
2,W,3,CP,w,3,3,10
2,W,3,CP,w,4,1,2
2,W,3,CP,w,4,2,24
2,W,3,CP,w,4,3,4
2,W,3,MP,c,1,1,10
2,W,3,MP,c,1,2,6
2,W,3,MP,c,1,3,2
2,W,3,MP,c,2,1,20
2,W,3,MP,c,2,2,4
2,W,3,MP,c,2,3,6
2,W,3,MP,c,3,1,4
2,W,3,MP,c,3,2,2
2,W,3,MP,c,3,3,6
2,W,3,MP,c,4,1,4
2,W,3,MP,c,4,2,6
2,W,3,MP,c,4,3,10
2,W,3,MP,s,1,1,4
2,W,3,MP,s,1,2,8
2,W,3,MP,s,1,3,6
2,W,3,MP,s,2,1,0
2,W,3,MP,s,2,2,10
2,W,3,MP,s,2,3,0
2,W,3,MP,s,3,1,4
2,W,3,MP,s,3,2,0
2,W,3,MP,s,3,3,8
2,W,3,MP,s,4,1,0
2,W,3,MP,s,4,2,0
2,W,3,MP,s,4,3,2
2,W,3,MP,w,1,1,0
2,W,3,MP,w,1,2,4
2,W,3,MP,w,1,3,2
2,W,3,MP,w,2,1,4
2,W,3,MP,w,2,2,12
2,W,3,MP,w,2,3,12
2,W,3,MP,w,3,1,4
2,W,3,MP,w,3,2,14
2,W,3,MP,w,3,3,4
2,W,3,MP,w,4,1,10
2,W,3,MP,w,4,2,12
2,W,3,MP,w,4,3,2
2,W,3,NT,c,1,1,46
2,W,3,NT,c,1,2,16
2,W,3,NT,c,1,3,2
2,W,3,NT,c,2,1,0
2,W,3,NT,c,2,2,12
2,W,3,NT,c,2,3,0
2,W,3,NT,c,3,1,4
2,W,3,NT,c,3,2,4
2,W,3,NT,c,3,3,2
2,W,3,NT,c,4,1,4
2,W,3,NT,c,4,2,8
2,W,3,NT,c,4,3,8
2,W,3,NT,s,1,1,0
2,W,3,NT,s,1,2,8
2,W,3,NT,s,1,3,2
2,W,3,NT,s,2,1,10
2,W,3,NT,s,2,2,6
2,W,3,NT,s,2,3,4
2,W,3,NT,s,3,1,8
2,W,3,NT,s,3,2,4
2,W,3,NT,s,3,3,6
2,W,3,NT,s,4,1,0
2,W,3,NT,s,4,2,6
2,W,3,NT,s,4,3,4
2,W,3,NT,w,1,1,4
2,W,3,NT,w,1,2,8
2,W,3,NT,w,1,3,4
2,W,3,NT,w,2,1,4
2,W,3,NT,w,2,2,2
2,W,3,NT,w,2,3,10
2,W,3,NT,w,3,1,0
2,W,3,NT,w,3,2,8
2,W,3,NT,w,3,3,2
2,W,3,NT,w,4,1,8
2,W,3,NT,w,4,2,26
2,W,3,NT,w,4,3,8
2,W,4,CP,c,1,1,98
2,W,4,CP,c,1,2,88
2,W,4,CP,c,1,3,92
2,W,4,CP,c,2,1,100
2,W,4,CP,c,2,2,98
2,W,4,CP,c,2,3,100
2,W,4,CP,c,3,1,30
2,W,4,CP,c,3,2,84
2,W,4,CP,c,3,3,100
2,W,4,CP,c,4,1,100
2,W,4,CP,c,4,2,100
2,W,4,CP,c,4,3,96
2,W,4,CP,s,1,1,0
2,W,4,CP,s,1,2,0
2,W,4,CP,s,1,3,0
2,W,4,CP,s,2,1,0
2,W,4,CP,s,2,2,6
2,W,4,CP,s,2,3,6
2,W,4,CP,s,3,1,0
2,W,4,CP,s,3,2,2
2,W,4,CP,s,3,3,6
2,W,4,CP,s,4,1,2
2,W,4,CP,s,4,2,4
2,W,4,CP,s,4,3,0
2,W,4,CP,w,1,1,58
2,W,4,CP,w,1,2,8
2,W,4,CP,w,1,3,100
2,W,4,CP,w,2,1,100
2,W,4,CP,w,2,2,0
2,W,4,CP,w,2,3,94
2,W,4,CP,w,3,1,98
2,W,4,CP,w,3,2,100
2,W,4,CP,w,3,3,98
2,W,4,CP,w,4,1,20
2,W,4,CP,w,4,2,100
2,W,4,CP,w,4,3,100
2,W,4,MP,c,1,1,68
2,W,4,MP,c,1,2,100
2,W,4,MP,c,1,3,100
2,W,4,MP,c,2,1,98
2,W,4,MP,c,2,2,100
2,W,4,MP,c,2,3,100
2,W,4,MP,c,3,1,100
2,W,4,MP,c,3,2,96
2,W,4,MP,c,3,3,96
2,W,4,MP,c,4,1,94
2,W,4,MP,c,4,2,22
2,W,4,MP,c,4,3,20
2,W,4,MP,s,1,1,14
2,W,4,MP,s,1,2,14
2,W,4,MP,s,1,3,0
2,W,4,MP,s,2,1,0
2,W,4,MP,s,2,2,0
2,W,4,MP,s,2,3,6
2,W,4,MP,s,3,1,4
2,W,4,MP,s,3,2,0
2,W,4,MP,s,3,3,0
2,W,4,MP,s,4,1,6
2,W,4,MP,s,4,2,10
2,W,4,MP,s,4,3,2
2,W,4,MP,w,1,1,100
2,W,4,MP,w,1,2,98
2,W,4,MP,w,1,3,98
2,W,4,MP,w,2,1,100
2,W,4,MP,w,2,2,18
2,W,4,MP,w,2,3,2
2,W,4,MP,w,3,1,100
2,W,4,MP,w,3,2,100
2,W,4,MP,w,3,3,100
2,W,4,MP,w,4,1,80
2,W,4,MP,w,4,2,10
2,W,4,MP,w,4,3,96
2,W,4,NT,c,1,1,100
2,W,4,NT,c,1,2,100
2,W,4,NT,c,1,3,86
2,W,4,NT,c,2,1,86
2,W,4,NT,c,2,2,96
2,W,4,NT,c,2,3,100
2,W,4,NT,c,3,1,100
2,W,4,NT,c,3,2,98
2,W,4,NT,c,3,3,96
2,W,4,NT,c,4,1,82
2,W,4,NT,c,4,2,44
2,W,4,NT,c,4,3,100
2,W,4,NT,s,1,1,0
2,W,4,NT,s,1,2,0
2,W,4,NT,s,1,3,0
2,W,4,NT,s,2,1,6
2,W,4,NT,s,2,2,32
2,W,4,NT,s,2,3,8
2,W,4,NT,s,3,1,0
2,W,4,NT,s,3,2,6
2,W,4,NT,s,3,3,4
2,W,4,NT,s,4,1,6
2,W,4,NT,s,4,2,8
2,W,4,NT,s,4,3,0
2,W,4,NT,w,1,1,100
2,W,4,NT,w,1,2,14
2,W,4,NT,w,1,3,26
2,W,4,NT,w,2,1,70
2,W,4,NT,w,2,2,64
2,W,4,NT,w,2,3,38
2,W,4,NT,w,3,1,100
2,W,4,NT,w,3,2,90
2,W,4,NT,w,3,3,100
2,W,4,NT,w,4,1,98
2,W,4,NT,w,4,2,96
2,W,4,NT,w,4,3,92
2,W,5,CP,c,1,1,54
2,W,5,CP,c,1,2,12
2,W,5,CP,c,1,3,4
2,W,5,CP,c,2,1,6
2,W,5,CP,c,2,2,6
2,W,5,CP,c,2,3,98
2,W,5,CP,c,3,1,14
2,W,5,CP,c,3,2,4
2,W,5,CP,c,3,3,0
2,W,5,CP,c,4,1,28
2,W,5,CP,c,4,2,90
2,W,5,CP,c,4,3,100
2,W,5,CP,s,1,1,0
2,W,5,CP,s,1,2,2
2,W,5,CP,s,1,3,4
2,W,5,CP,s,2,1,4
2,W,5,CP,s,2,2,4
2,W,5,CP,s,2,3,0
2,W,5,CP,s,3,1,0
2,W,5,CP,s,3,2,0
2,W,5,CP,s,3,3,0
2,W,5,CP,s,4,1,4
2,W,5,CP,s,4,2,0
